Benchmark Problem,Paradigm,Precision,Hardware,Executable,Region,Kernel ID,Kernel,Kernel Signature,Grid Size [blocks],Block Size [threads/block],Duration [s],Memory Level,FLOP [FLOP],Memory Traffic [Byte],Arithmetic Intensity [FLOP/Byte],Performance [FLOP/s],Peak Performance [FLOP/s],Peak Bandwidth [Byte/s],dram__bytes.sum [Byte],dram__bytes.sum.peak_sustained [Byte/cycle],dram__cycles_elapsed.avg.per_second [cycle/s],gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed [%],gpu__time_duration.sum [ns],l1tex__cycles_elapsed.avg.per_second [cycle/s],l1tex__t_bytes.sum [Byte],l1tex__t_bytes.sum.peak_sustained [Byte/cycle],launch__block_size [threads/block],launch__grid_size [blocks],launch__waves_per_multiprocessor [1],lts__cycles_elapsed.avg.per_second [cycle/s],lts__t_bytes.sum [Byte],lts__t_bytes.sum.peak_sustained [Byte/cycle],sm__cycles_elapsed.avg [cycle],sm__cycles_elapsed.avg.per_second [cycle/s],sm__inst_executed_pipe_tensor.sum [inst],sm__sass_thread_inst_executed_op_dadd_pred_on.sum [inst],sm__sass_thread_inst_executed_op_dfma_pred_on.sum [inst],sm__sass_thread_inst_executed_op_dfma_pred_on.sum.peak_sustained [inst/cycle],sm__sass_thread_inst_executed_op_dmul_pred_on.sum [inst],sm__sass_thread_inst_executed_op_fadd_pred_on.sum [inst],sm__sass_thread_inst_executed_op_ffma_pred_on.sum [inst],sm__sass_thread_inst_executed_op_ffma_pred_on.sum.peak_sustained [inst/cycle],sm__sass_thread_inst_executed_op_fmul_pred_on.sum [inst],sm__sass_thread_inst_executed_op_hadd_pred_on.sum [inst],sm__sass_thread_inst_executed_op_hfma_pred_on.sum [inst],sm__sass_thread_inst_executed_op_hfma_pred_on.sum.peak_sustained [inst/cycle],sm__sass_thread_inst_executed_op_hmul_pred_on.sum [inst],sm__throughput.avg.pct_of_peak_sustained_elapsed [%],FLOP FP32 [FLOP],FLOP FP64 [FLOP],FLOP FP16 [FLOP]
MatrixMultiplication,OpenACC,FP32,NVIDIA RTX5080,matMul_acc,matmul,0,ppb::ImplOpenACC_23_gpu::operator,"ppb::ImplOpenACC_23_gpu<float>::operator ()(const std::vector<float, std::allocator<float>> &, const std::vector<float, std::allocator<float>> &, const ppb::MatrixMultiplicationConfig &)","(840, 1, 1)","(128, 1, 1)",0.058732672,DRAM,137438953472.0,2441654784.0,56.289265121600415,2340076635232.9414,57262111692517.57,959167307763.5562,2441654784.0,64.0,14986989183.805565,4.334211835070705,58732672.0,2662858616.653533,343681484800.0,43008.0,128.0,840.0,1.0,2373391883.141295,184054009568.0,2048.0,156396801.7142857,2662858616.653533,0.0,0.0,0.0,168.0,0.0,0.0,68719476736.0,10752.0,0.0,0.0,50435072.0,5376.0,0.0,65.40180557997503,137438953472.0,0.0,100870144.0
MatrixMultiplication,AdaptiveCpp,FP32,NVIDIA RTX5080,matMul_acpp,matmul,0,__acpp_sscp_kernel,"void __acpp_sscp_kernel<hipsycl::glue::__sscp_dispatch::ndrange_parallel_for<ppb::ImplAdaptiveCpp<float>::operator ()(const std::vector<float, std::allocator<float>> &, const std::vector<float, std::allocator<float>> &, const ppb::MatrixMultiplicationConfig &)::[lambda(hipsycl::sycl::handler &) (instance 1)]::operator ()(hipsycl::sycl::handler &) const::[lambda(const hipsycl::sycl::nd_item<(int)2> &) (instance 1)], (int)2>>(const T1 &)","(256, 256, 1)","(16, 16, 1)",0.03994256,DRAM,137438953472.0,1922924800.0,71.47390967759114,3440914990726.683,57350743174398.445,959167162445.2714,1922924800.0,64.0,14986986913.207363,5.019172273530868,39942560.0,2666980244.3451657,274945015808.0,43008.0,256.0,65536.0,130.03174603174602,2379932057.434476,34557426816.0,2048.0,106526018.42857143,2666980244.3451657,0.0,0.0,0.0,168.0,0.0,0.0,68719476736.0,10752.0,0.0,0.0,33554432.0,5376.0,0.0,96.03153928698572,137438953472.0,0.0,67108864.0
MatrixMultiplication,Alpaka,FP32,NVIDIA RTX5080,matMul_alpaka,matmul,0,alpaka::detail::gpuKernel,"void alpaka::detail::gpuKernel<ppb::ImplAlpaka<float>::operator ()(const std::vector<float, std::allocator<float>> &, const std::vector<float, std::allocator<float>> &, const ppb::MatrixMultiplicationConfig &)::[lambda(const alpaka::AccGpuUniformCudaHipRt<alpaka::ApiCudaRt, std::integral_constant<unsigned long, (unsigned long)2>, unsigned long> &, const float *, const float *, float *, unsigned long, unsigned long, unsigned long) (instance 1)], alpaka::AccGpuUniformCudaHipRt<alpaka::ApiCudaRt, std::integral_constant<unsigned long, (unsigned long)2>, unsigned long>, float *, float *, float *, int, int, int>(alpaka::Vec<alpaka::trait::DimType<T2, void>::type, alpaka::trait::IdxType<T2, void>::type>, T1, T3...)","(4, 4096, 1)","(1024, 1, 1)",0.0592696,DRAM,137438953472.0,1122553344.0,122.43422925654748,2318877695682.103,57359887345418.22,959167214761.0242,1122553344.0,64.0,14986987730.641005,1.974606971177574,59269600.0,2667405475.51238,343664492544.0,43008.0,1024.0,16384.0,195.04761904761904,2371040600.91514,275449512672.0,2048.0,158096055.57142857,2667405475.51238,0.0,0.0,0.0,168.0,0.0,0.0,68719476736.0,10752.0,0.0,0.0,33554432.0,5376.0,0.0,64.70659553670916,137438953472.0,0.0,67108864.0
MatrixMultiplication,Cuda,FP32,NVIDIA RTX5080,matMul_cuda,matmul-cublas,0,cutlass::Kernel2,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params),"(256, 2, 3)","(256, 1, 1)",0.003595264,DRAM,137556393984.0,527746048.0,260.64883764700403,38260443178581.59,57056199373397.9,959156935346.0552,527746048.0,64.0,14986827114.782112,15.303985033852005,3595264.0,2653283080.980185,3556868096.0,43008.0,256.0,1536.0,18.285714285714285,2379893938.24765,3675740736.0,2048.0,9539253.142857144,2653283080.980185,0.0,0.0,0.0,168.0,0.0,0.0,68753031168.0,10752.0,50331648.0,0.0,1441792.0,5376.0,0.0,75.13287004059957,137556393984.0,0.0,2883584.0
MatrixMultiplication,Cuda,FP32,NVIDIA RTX5080,matMul_cuda,matmul-naive,1,ppb::matrixMultiplication,"void ppb::matrixMultiplication<float>(const T1 *, const T1 *, T1 *, int, int, int)","(128, 171, 1)","(32, 24, 1)",0.04307488,DRAM,137438953472.0,2008805632.0,68.4182437975164,3190698464441.456,57365159904612.625,959167104725.5385,2008805632.0,64.0,14986986011.336536,4.862051617164255,43074880.0,2667650665.2070603,343664492544.0,43008.0,768.0,21888.0,130.28571428571428,2380521245.7933717,20319800608.0,2048.0,114908732.28571428,2667650665.2070603,0.0,0.0,0.0,168.0,0.0,0.0,68719476736.0,10752.0,0.0,0.0,16777216.0,5376.0,0.0,89.02597910978606,137438953472.0,0.0,33554432.0
MatrixMultiplication,Hip,FP32,NVIDIA RTX5080,matMul_hip,matmul,0,ppb::matrixMultiplicationHip,"void ppb::matrixMultiplicationHip<float>(const T1 *, const T1 *, T1 *, int, int, int)","(128, 171, 1)","(32, 24, 1)",0.042958464,DRAM,137438953472.0,1834617600.0,74.91422379900858,3199345150515.6235,57363886333366.11,959167040609.2732,1834617600.0,64.0,14986985009.519894,4.452486014926557,42958464.0,2667591440.353707,343664492544.0,43008.0,768.0,21888.0,130.28571428571428,2380714100.951095,20300144864.0,2048.0,114595630.85714284,2667591440.353707,0.0,0.0,0.0,168.0,0.0,0.0,68719476736.0,10752.0,0.0,0.0,16777216.0,5376.0,0.0,89.26921841158801,137438953472.0,0.0,33554432.0
MatrixMultiplication,Kokkos,FP32,NVIDIA RTX5080,matMul_kokkos,matmul,2,Kokkos::Impl::cuda_parallel_launch_local_memory,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<ppb::ImplKokkos<float>::operator ()(const std::vector<float, std::allocator<float>> &, const std::vector<float, std::allocator<float>> &, const ppb::MatrixMultiplicationConfig &)::[lambda(int, int) (instance 1)], Kokkos::MDRangePolicy<Kokkos::Rank<(unsigned int)2, (Kokkos::Iterate)0, (Kokkos::Iterate)0>, Kokkos::Cuda>, Kokkos::Cuda>>(T1)","(256, 256, 1)","(16, 16, 1)",0.039814816,DRAM,137438953472.0,2442190080.0,56.27692725375414,3451955007703.665,57367439999421.31,959166959355.03,2442190080.0,64.0,14986983739.922344,6.394999865930176,39814816.0,2667756696.401661,274945015808.0,43008.0,256.0,65536.0,130.03174603174602,2379500435.214871,35516034848.0,2048.0,106216242.0,2667756696.401661,0.0,0.0,0.0,168.0,0.0,0.0,68719476736.0,10752.0,0.0,0.0,16777216.0,5376.0,0.0,96.31161234088404,137438953472.0,0.0,33554432.0
MatrixMultiplication,OpenMP,FP32,NVIDIA RTX5080,matMul_omp,matmul,0,__omp_offloading_813_a20a56__ZN3ppb16ImplOpenMPDeviceIfEclERKSt6vectorIfSaIfEES6_RKNS_26MatrixMultiplicationConfigE_l20,__omp_offloading_813_a20a56__ZN3ppb16ImplOpenMPDeviceIfEclERKSt6vectorIfSaIfEES6_RKNS_26MatrixMultiplicationConfigE_l20,"(3200, 1, 1)","(128, 1, 1)",0.062468416,DRAM,137438953472.0,2035502336.0,67.52090186350934,2200135080614.1777,57344689672553.88,959167993246.379,2035502336.0,64.0,14986999894.474672,3.397163373767615,62468416.0,2666698738.493019,343715643392.0,43008.0,128.0,3200.0,3.1746031746031744,2372650444.66631,229433757984.0,2048.0,166584446.14285713,2666698738.493019,0.0,0.0,0.0,168.0,0.0,0.0,68719476736.0,10752.0,0.0,0.0,33554432.0,5376.0,0.0,61.41766515560151,137438953472.0,0.0,67108864.0
MatrixMultiplication,RAJA,FP32,NVIDIA RTX5080,matMul_raja,matmul,0,RAJA::internal::CudaKernelLauncherFixed,"void RAJA::internal::CudaKernelLauncherFixed<(int)256, (int)1, RAJA::internal::LoopData<camp::tuple<RAJA::Span<RAJA::Iterators::numeric_iterator<int, int, int *>, int>, RAJA::Span<RAJA::Iterators::numeric_iterator<int, int, int *>, int>>, camp::tuple<>, camp::resources::v1::Cuda, ppb::ImplRaja<float>::operator ()(const std::vector<float, std::allocator<float>> &, const std::vector<float, std::allocator<float>> &, const ppb::MatrixMultiplicationConfig &)::[lambda(int, int) (instance 1)]>, RAJA::internal::CudaStatementListExecutor<RAJA::internal::LoopData<camp::tuple<RAJA::Span<RAJA::Iterators::numeric_iterator<int, int, int *>, int>, RAJA::Span<RAJA::Iterators::numeric_iterator<int, int, int *>, int>>, camp::tuple<>, camp::resources::v1::Cuda, ppb::ImplRaja<float>::operator ()(const std::vector<float, std::allocator<float>> &, const std::vector<float, std::allocator<float>> &, const ppb::MatrixMultiplicationConfig &)::[lambda(int, int) (instance 1)]>, camp::list<RAJA::statement::Tile<(long)1, RAJA::tile_fixed<(long)16>, RAJA::policy::cuda::cuda_indexer<RAJA::iteration_mapping::StridedLoop<(unsigned long)0>, (RAJA::kernel_sync_requirement)0, RAJA::cuda::IndexGlobal<(RAJA::named_dim)1, (int)-1, (int)0>>, RAJA::statement::Tile<(long)0, RAJA::tile_fixed<(long)16>, RAJA::policy::cuda::cuda_indexer<RAJA::iteration_mapping::StridedLoop<(unsigned long)0>, (RAJA::kernel_sync_requirement)0, RAJA::cuda::IndexGlobal<(RAJA::named_dim)0, (int)-1, (int)0>>, RAJA::statement::For<(long)1, RAJA::policy::cuda::cuda_indexer<RAJA::iteration_mapping::StridedLoop<(unsigned long)0>, (RAJA::kernel_sync_requirement)0, RAJA::cuda::IndexGlobal<(RAJA::named_dim)1, (int)0, (int)-1>>, RAJA::statement::For<(long)0, RAJA::policy::cuda::cuda_indexer<RAJA::iteration_mapping::StridedLoop<(unsigned long)0>, (RAJA::kernel_sync_requirement)0, RAJA::cuda::IndexGlobal<(RAJA::named_dim)0, (int)0, (int)-1>>, RAJA::statement::Lambda<(long)0, >>>>>>, RAJA::internal::LoopTypes<camp::list<void, void>, camp::list<void, void>>>>(T3)","(256, 256, 1)","(16, 16, 1)",0.039355008,DRAM,137438953472.0,2405737984.0,57.12964353810527,3492286254191.5884,57357312907978.56,959167374073.4596,2405737984.0,64.0,14986990219.897808,6.373146802838161,39355008.0,2667285756.50942,274945015808.0,43008.0,256.0,65536.0,156.03809523809522,2378259763.0268555,34925728832.0,2048.0,104971052.28571428,2667285756.50942,0.0,0.0,0.0,168.0,0.0,0.0,68719476736.0,10752.0,0.0,0.0,8606711808.0,5376.0,0.0,97.45408187359598,137438953472.0,0.0,17213423616.0
MatrixMultiplication,Slang-Cuda,FP32,NVIDIA RTX5080,matMul_slang_cuda,matmul,0,matmul_kernel,matmul_kernel,"(256, 256, 1)","(16, 16, 1)",0.08316176,DRAM,137438953472.0,1984069120.0,69.2712527434528,1652670091061.0835,57348327404326.22,959167248023.6108,1984069120.0,64.0,14986988250.36892,2.4873607960920463,83161760.0,2666867903.8470154,274995347456.0,43008.0,256.0,65536.0,130.03174603174602,2381699317.08997,29286294784.0,2048.0,221781428.57142857,2666867903.8470154,0.0,0.0,0.0,168.0,0.0,0.0,68719476736.0,10752.0,0.0,0.0,16777216.0,5376.0,0.0,46.142738388932905,137438953472.0,0.0,33554432.0
