Benchmark Problem,Paradigm,Precision,Hardware,Executable,Region,Kernel ID,Kernel,Kernel Signature,Duration [s],Memory Level,FLOP [FLOP],Memory Traffic [Byte],Arithmetic Intensity [FLOP/Byte],Performance [FLOP/s],Peak Performance [FLOP/s],Peak Bandwidth [Byte/s]
MatrixMultiplication,Boost,FP32,NVIDIA RTX5080,matMul_boost,matmul,0,compute window,"sampled compute activity: 28 compute window(s), minus a 36.804 ms reference run, over 19 call(s)",0.0370776322631579,DRAM,137438953472.0,2772424945.7566323,49.57355245355111,3706788839603.5977,57400000000000.0,959200000000.0
MatrixMultiplication,OpenCL,FP32,NVIDIA RTX5080,matMul_ocl,matmul,0,compute window,"sampled compute activity: 28 compute window(s), minus a 36.834 ms reference run, over 19 call(s)",0.0371602975789473,DRAM,137438953472.0,5270906993.847579,26.075010170436403,3698542865002.891,57400000000000.0,959200000000.0
MatrixMultiplication,Slang-Vulkan,FP32,NVIDIA RTX5080,matMul_slang_vulkan,matmul,0,compute window,"sampled compute activity: 20 compute window(s), minus a 36.924 ms reference run, over 19 call(s)",0.037072312368421,DRAM,137438953472.0,4225895945.095578,32.52303304616543,3707320765593.065,57400000000000.0,959200000000.0
MatrixMultiplication,Vulkan,FP32,NVIDIA RTX5080,matMul_vulkan,matmul,0,compute window,"sampled compute activity: 20 compute window(s), minus a 37.024 ms reference run, over 19 call(s)",0.0370696828947368,DRAM,137438953472.0,4221988776.669053,32.55313093949832,3707583737963.768,57400000000000.0,959200000000.0
Polyhedral,Boost,FP32,NVIDIA RTX5080,polyhedral_boost,evaluate,0,compute window,"sampled compute activity: 20 compute window(s), minus a 0.260 ms reference run, over 19 call(s)",0.0002497031052631,DRAM,1847050000.0,125656264.20715792,14.699227385551897,7396984503069.856,57400000000000.0,959200000000.0
Polyhedral,Boost,FP32,NVIDIA RTX5080,polyhedral_boost,init,1,compute window,"sampled compute activity: 1 compute window(s), entered 1 time(s) in both runs",0.000220226,DRAM,,172548272.24800003,,,57400000000000.0,959200000000.0
Polyhedral,OpenCL,FP32,NVIDIA RTX5080,polyhedral_ocl,evaluate,0,compute window,"sampled compute activity: 20 compute window(s), minus a 0.250 ms reference run, over 19 call(s)",0.0002454872631578,DRAM,1847050000.0,125226091.7831579,14.749721673006936,7524015609771.157,57400000000000.0,959200000000.0
Polyhedral,OpenCL,FP32,NVIDIA RTX5080,polyhedral_ocl,init,1,compute window,"sampled compute activity: 1 compute window(s), entered 1 time(s) in both runs",0.000220194,DRAM,,171651113.30400002,,,57400000000000.0,959200000000.0
Polyhedral,Slang-Vulkan,FP32,NVIDIA RTX5080,polyhedral_slang_vulkan,evaluate,0,compute window,"sampled compute activity: 20 compute window(s), minus a 30.769 ms reference run, over 19 call(s)",0.0131712365789473,DRAM,1847050000.0,141843413.9389474,13.021753698025146,140233605928.26086,57400000000000.0,959200000000.0
Polyhedral,Vulkan,FP32,NVIDIA RTX5080,polyhedral_vulkan,evaluate,0,compute window,"sampled compute activity: 20 compute window(s), minus a 14.123 ms reference run, over 19 call(s)",0.0140757656315789,DRAM,1847050000.0,153613257.34526318,12.024027300251475,131221991637.60922,57400000000000.0,959200000000.0
Polyhedral,Vulkan,FP32,NVIDIA RTX5080,polyhedral_vulkan,init,1,compute window,"sampled compute activity: 1 compute window(s), entered 1 time(s) in both runs",0.033791502,DRAM,,318847422.6080001,,,57400000000000.0,959200000000.0
