Benchmark Problem,Paradigm,Precision,Hardware,Executable,Kernel ID,Kernel,Kernel Signature,Grid Size,Block Size,Duration,Memory Level,FLOP,Memory Traffic,Arithmetic Intensity,Performance,Peak Performance,Peak Bandwidth,dram__bytes.sum,dram__bytes.sum.peak_sustained,dram__cycles_elapsed.avg.per_second,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__cycles_elapsed.avg.per_second,l1tex__t_bytes.sum,l1tex__t_bytes.sum.peak_sustained,launch__block_size,launch__grid_size,launch__waves_per_multiprocessor,lts__cycles_elapsed.avg.per_second,lts__t_bytes.sum,lts__t_bytes.sum.peak_sustained,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum.peak_sustained,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum.peak_sustained,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum.peak_sustained,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,FLOP FP32,FLOP FP64,FLOP FP16
Polyhedral,OpenACC,FP32,NVIDIA RTX5080,polyhedral_acc,0,init_296,init_296(),"(116, 1, 1)","(128, 1, 1)",4.896e-06,DRAM,3081496.0,506880.0,6.079340277777778,629390522875.817,57212235294197.76,952052287581.44,506880.0,64.0,14875816993.46,10.87,4896.0,2660539215.69,12127744.0,43008.0,128.0,116.0,0.12,2377859477.12,3487424.0,2048.0,13026.0,2660539215.69,0.0,0.0,0.0,168.0,0.0,132696.0,1297472.0,10752.0,353856.0,0.0,0.0,5376.0,0.0,3.29,3081496.0,0.0,0.0
Polyhedral,OpenACC,FP32,NVIDIA RTX5080,polyhedral_acc,1,evaluate_48,evaluate_48(const Array3Base<float> &),"(116, 1, 1)","(128, 1, 1)",8.672000000000001e-06,DRAM,16642678.0,1737216.0,9.580085608237548,1919127998154.9814,57044546125486.08,955040590405.76,1737216.0,64.0,14922509225.09,20.98,8672.0,2652741170.27,16978592.0,43008.0,128.0,116.0,0.28,2374769372.69,4872416.0,2048.0,23004.57,2652741170.27,0.0,0.0,0.0,168.0,0.0,1589054.0,5912344.0,10752.0,3228936.0,0.0,221160.0,5376.0,0.0,12.98,16642678.0,0.0,442320.0
Polyhedral,AdaptiveCpp,FP32,NVIDIA RTX5080,polyhedral_acpp,0,__acpp_sscp_kernel,"void __acpp_sscp_kernel<basic_parallel_for<init()::[lambda(handler &) (instance 1)]::operator ()(handler &) lambda(const id<1> &) (instance 1)], 1>>(const T1 &)","(116, 1, 1)","(128, 1, 1)",4.896e-06,DRAM,2727640.0,451328.0,6.0435869256948385,557116013071.8954,57441254902026.24,953725490195.84,451328.0,64.0,14901960784.31,9.67,4896.0,2671189309.06,12053984.0,43008.0,128.0,116.0,0.12,2389501633.99,3680352.0,2048.0,13078.14,2671189309.06,0.0,0.0,0.0,168.0,0.0,132696.0,1179520.0,10752.0,235904.0,0.0,14848.0,5376.0,0.0,2.85,2727640.0,0.0,29696.0
Polyhedral,AdaptiveCpp,FP32,NVIDIA RTX5080,polyhedral_acpp,1,__acpp_sscp_kernel,"void __acpp_sscp_kernel<ndrange_parallel_for<auto algorithms::wg_hierarchical_reduction_engine<algorithms::group_horizontal_reducer<algorithms::generic_local_memory<algorithms::reduction_descriptor<algorithms::reduction_binary_operator<GravityModelResultAcpp, evaluate(const Array3Base<float> &)::[lambda(handler &) (instance 1)]::operator ()(handler &) lambda(const GravityModelResultAcpp &, const GravityModelResultAcpp &) (instance 1)], 1>, GravityModelResultAcpp *>>>>::wrap_main_kernel<std::shared_ptr<rt::dag_node> submit_ndrange_reduction_kernel<__acpp_unnamed_kernel, void submit_kernel<__acpp_unnamed_kernel, 1, evaluate(const Array3Base<float> &)::[lambda(handler &) (instance 1)]::operator ()(handler &) lambda(const id<1> &, T1 &) (instance 1)], 1, algorithms::reduction_descriptor<algorithms::reduction_binary_operator<GravityModelResultAcpp, evaluate(const Array3Base<float> &)::[lambda(handler &) (instance 1)]::operator ()(handler &) lambda(const GravityModelResultAcpp &, const GravityModelResultAcpp &) (instance 1)], 1>, GravityModelResultAcpp *>>(id<T4>, range<T4>, range<T4>, T3, T5...)::[lambda(nd_item<1>, T1 &...) (instance 1)], 1, algorithms::reduction_descriptor<algorithms::reduction_binary_operator<GravityModelResultAcpp, evaluate(const Array3Base<float> &)::[lambda(handler &) (instance 1)]::operator ()(handler &) lambda(const GravityModelResultAcpp &, const GravityModelResultAcpp &) (instance 1)], 1>, GravityModelResultAcpp *>>(range<T3>, range<T3>, T2, T4...)::[lambda(nd_item<1>, T1 &...) (instance 1)], algorithms::configured_reduction_descriptor<algorithms::reduction_descriptor<algorithms::reduction_binary_operator<GravityModelResultAcpp, evaluate(const Array3Base<float> &)::[lambda(handler &) (instance 1)]::operator ()(handler &) lambda(const GravityModelResultAcpp &, const GravityModelResultAcpp &) (instance 1)], 1>, GravityModelResultAcpp *>>>(const T1 &, const algorithms::group_horizontal_reducer<algorithms::generic_local_memory<algorithms::reduction_descriptor<algorithms::reduction_binary_operator<GravityModelResultAcpp, evaluate(const Array3Base<float> &)::[lambda(handler &) (instance 1)]::operator ()(handler &) lambda(const GravityModelResultAcpp &, const GravityModelResultAcpp &) (instance 1)], 1>, GravityModelResultAcpp *>>> &, const T2 &...)::[lambda(T1...) (instance 1)], 1>>(const T1 &)","(116, 1, 1)","(128, 1, 1)",8.384e-06,DRAM,14879464.0,1751808.0,8.493775573578839,1774745229007.6335,57284152671836.16,957557251908.48,1751808.0,64.0,14961832061.07,21.82,8384.0,2663883587.79,20047040.0,43008.0,128.0,116.0,0.28,2393368320.61,6333344.0,2048.0,22334.0,2663883587.79,0.0,0.0,0.0,168.0,0.0,1751118.0,5436257.0,10752.0,2255832.0,0.0,191672.0,5376.0,0.0,10.84,14879464.0,0.0,383344.0
Polyhedral,AdaptiveCpp,FP32,NVIDIA RTX5080,polyhedral_acpp,2,__acpp_sscp_kernel,"void __acpp_sscp_kernel<ndrange_parallel_for<auto algorithms::wg_hierarchical_reduction_engine<algorithms::group_horizontal_reducer<algorithms::generic_local_memory<algorithms::reduction_descriptor<algorithms::reduction_binary_operator<GravityModelResultAcpp, evaluate(const Array3Base<float> &)::[lambda(handler &) (instance 1)]::operator ()(handler &) lambda(const GravityModelResultAcpp &, const GravityModelResultAcpp &) (instance 1)], 1>, GravityModelResultAcpp *>>>>::create_dedicated_reduction_kernel<algorithms::configured_reduction_descriptor<algorithms::reduction_descriptor<algorithms::reduction_binary_operator<GravityModelResultAcpp, evaluate(const Array3Base<float> &)::[lambda(handler &) (instance 1)]::operator ()(handler &) lambda(const GravityModelResultAcpp &, const GravityModelResultAcpp &) (instance 1)], 1>, GravityModelResultAcpp *>>>(const algorithms::group_horizontal_reducer<algorithms::generic_local_memory<algorithms::reduction_descriptor<algorithms::reduction_binary_operator<GravityModelResultAcpp, evaluate(const Array3Base<float> &)::[lambda(handler &) (instance 1)]::operator ()(handler &) lambda(const GravityModelResultAcpp &, const GravityModelResultAcpp &) (instance 1)], 1>, GravityModelResultAcpp *>>> &, const T1 &...)::[lambda(T1, T2 &&...) (instance 1)], 1>>(const T1 &)","(1, 1, 1)","(128, 1, 1)",2.944e-06,DRAM,2440.0,15104.0,0.16154661016949154,828804347.8260869,56860173912944.64,954434782608.64,15104.0,64.0,14913043478.26,0.54,2944.0,2644167313.66,37312.0,43008.0,128.0,1.0,0.0,2365489130.43,86464.0,2048.0,7784.43,2644167313.66,0.0,0.0,0.0,168.0,0.0,2440.0,0.0,10752.0,0.0,0.0,0.0,5376.0,0.0,0.1,2440.0,0.0,0.0
Polyhedral,Alpaka,FP32,NVIDIA RTX5080,polyhedral_alpaka,0,gpuKernel,"void gpuKernel<<unnamed>::InitKernel, AccGpuUniformCudaHipRt<ApiCudaRt, integral_constant<unsigned long, 1>, unsigned long>, Array3Base<float> *, Array3Base<unsigned long>*, Array3Base<float> *, Array3Base<Array3Base<float>>*, Array3Base<Array3Base<float>>*, unsigned long>(Vec<DimType<T2, void>::type, IdxType<T2, void>::type>, T1, T3...)","(19, 1, 1)","(776, 1, 1)",1.2672e-05,DRAM,3081496.0,591360.0,5.210863095238095,243173611111.1111,57245818181744.64,954828282828.16,591360.0,64.0,14919191919.19,4.89,12672.0,2662100919.91,12057696.0,43008.0,776.0,19.0,0.23,2383128156.57,8646336.0,2048.0,33734.14,2662100919.91,0.0,0.0,0.0,168.0,0.0,132696.0,1297472.0,10752.0,353856.0,0.0,14744.0,5376.0,0.0,1.22,3081496.0,0.0,29488.0
Polyhedral,Alpaka,FP32,NVIDIA RTX5080,polyhedral_alpaka,1,gpuKernel,"void gpuKernel<<unnamed>::EvalKernel, AccGpuUniformCudaHipRt<ApiCudaRt, integral_constant<unsigned long, 1>, unsigned long>, Array3Base<float> *, Array3Base<unsigned long>*, Array3Base<float> *, Array3Base<Array3Base<float>>*, Array3Base<Array3Base<float>>*, GravityModelResult *, unsigned long, float, float, float>(Vec<DimType<T2, void>::type, IdxType<T2, void>::type>, T1, T3...)","(19, 1, 1)","(776, 1, 1)",1.5680000000000002e-05,DRAM,16274078.0,1741312.0,9.345871388929726,1037887627551.0203,57220114285608.95,956081632652.8,1741312.0,64.0,14938775510.2,11.62,15680.0,2660905612.24,16775776.0,43008.0,776.0,19.0,0.23,2376466836.73,4373952.0,2048.0,41723.0,2660905612.24,0.0,0.0,0.0,168.0,0.0,1589054.0,5868112.0,10752.0,2948800.0,0.0,206416.0,5376.0,0.0,9.98,16274078.0,0.0,412832.0
Polyhedral,Cuda,FP32,NVIDIA RTX5080,polyhedral_cuda,0,run_init,"run_init(const float3 *, const int3 *, float3 *, float3 *, float3 *, int)","(58, 1, 1)","(256, 1, 1)",5.760000000000001e-06,DRAM,1135288.0,280832.0,4.04258773928897,197098611111.11108,57390933333350.4,958577777777.92,280832.0,64.0,14977777777.78,5.09,5760.0,2668849206.35,11523200.0,43008.0,256.0,58.0,0.12,2389756944.44,7114304.0,2048.0,15372.57,2668849206.35,0.0,0.0,0.0,168.0,0.0,132696.0,294880.0,10752.0,412832.0,0.0,0.0,5376.0,0.0,2.43,1135288.0,0.0,0.0
Polyhedral,Cuda,FP32,NVIDIA RTX5080,polyhedral_cuda,1,run_eval,"run_eval(const float3 *, const int3 *, float3 *, float3 *, float3 *, GravityModelResultCuda *, int, float, float, float)","(58, 1, 1)","(256, 1, 1)",8.288000000000001e-06,DRAM,16347798.0,1568000.0,10.425891581632653,1972465974903.4746,57295320463288.32,956787644787.84,1568000.0,64.0,14949806949.81,19.77,8288.0,2664402923.33,12938624.0,43008.0,256.0,58.0,0.23,2388272200.77,2685248.0,2048.0,22082.57,2664402923.33,0.0,0.0,0.0,168.0,0.0,1530078.0,5927088.0,10752.0,2963544.0,0.0,176928.0,5376.0,0.0,25.85,16347798.0,0.0,353856.0
Polyhedral,Cuda,FP32,NVIDIA RTX5080,polyhedral_cuda,2,cub::DeviceReduceKernel,"void cub::DeviceReduceKernel<cub::policy_selector_from_types<GravityModelResultCuda, unsigned int, cuda::plus<GravityModelResultCuda>>, thrust::device_ptr<GravityModelResultCuda>, unsigned int, cuda::plus<GravityModelResultCuda>, GravityModelResultCuda, cuda::identity>(T2, T5 *, T3, cub::GridEvenShare<T3>, T4, T6)","(58, 1, 1)","(256, 1, 1)",3.168e-06,DRAM,598320.0,739072.0,0.8095557672324212,188863636363.63635,56951272727193.6,951595959596.16,739072.0,64.0,14868686868.69,24.52,3168.0,2648403679.65,1420992.0,43008.0,256.0,58.0,0.35,2387941919.19,920576.0,2048.0,8390.14,2648403679.65,0.0,0.0,0.0,168.0,0.0,598320.0,0.0,10752.0,0.0,0.0,0.0,5376.0,0.0,8.03,598320.0,0.0,0.0
