Benchmark Problem,Paradigm,Description,Precision,Hardware,Problem Size,Iterations,Wall Clock Time,CPU Time,Kernel Time,Neighbor Search Time,Position Update Time,Velocity Update Time,Force Update Time,Time Unit
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD Instinct MI210,32.0,5741.0,127060.37762610054,126847.58596063404,34839.96115659293,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD Instinct MI210,64.0,4193.0,193318.02529074746,192057.70474600524,88664.4710231338,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD Instinct MI210,128.0,2507.0,343155.15480271354,340989.94615077775,123424.82409254089,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD Instinct MI210,256.0,1210.0,602362.9495396841,597275.6099173555,295259.9438016529,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD Instinct MI210,512.0,318.0,2210458.427588543,2185518.056603775,1231552.5251572328,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD Instinct MI210,1024.0,65.0,14862030.877086978,14782839.646153845,11610464.569230769,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD Instinct MI210,2048.0,9.0,71934503.11509271,71883059.3333334,64538917.333333336,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD Instinct MI210,4096.0,1.0,572493453.9757669,571988409.9999994,544750848.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD Instinct MI210,8192.0,1.0,4771360639.948398,4760477671.0,4578710528.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD Instinct MI210,16384.0,1.0,39544854869.94963,39465610914.0,38777200640.0,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD Instinct MI210,32.0,7145.0,98428.32736342499,98356.8677396781,38930.70622813156,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD Instinct MI210,64.0,4032.0,175864.3571404733,175536.59002976186,94791.83010912698,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD Instinct MI210,128.0,1956.0,359224.1257867168,357272.5904907974,230110.93251533742,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD Instinct MI210,256.0,767.0,925375.1850812035,923961.7235984352,506004.83050847455,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD Instinct MI210,512.0,130.0,5382471.046267221,5375592.207692303,3783363.176923077,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD Instinct MI210,1024.0,21.0,32988705.7166724,32959455.95238095,27886958.0,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD Instinct MI210,2048.0,2.0,290860598.0337597,290619957.0000001,277383774.5,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD Instinct MI210,4096.0,1.0,3599761703.0516267,3597317773.0000005,3566810567.0,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD Instinct MI210,8192.0,1.0,32610101937.083527,32575233284.0,32515524100.0,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD Instinct MI210,16384.0,1.0,276960871665.9714,276630940868.0,276605253466.0,,,,,ns
MatrixMultiplication,Boost,,32,AMD Instinct MI210,32.0,23466.0,91038.21269009092,31922.033026506433,18628.95491349186,,,,,ns
MatrixMultiplication,Boost,,32,AMD Instinct MI210,64.0,16096.0,106462.07710111488,34521.84145129225,27019.699304174952,,,,,ns
MatrixMultiplication,Boost,,32,AMD Instinct MI210,128.0,11939.0,180433.77309468476,57115.21383700473,51409.92051260574,,,,,ns
MatrixMultiplication,Boost,,32,AMD Instinct MI210,256.0,7969.0,313611.59418186825,80017.65378341071,93385.49818044924,,,,,ns
MatrixMultiplication,Boost,,32,AMD Instinct MI210,512.0,3151.0,885801.7473721298,216541.92605522057,310521.6366232942,,,,,ns
MatrixMultiplication,Boost,,32,AMD Instinct MI210,1024.0,1149.0,2461690.5073477225,472952.43342036544,1438798.1035683202,,,,,ns
MatrixMultiplication,Boost,,32,AMD Instinct MI210,2048.0,482.0,18376150.026944507,1419589.5601659769,14773138.605809128,,,,,ns
MatrixMultiplication,Boost,,32,AMD Instinct MI210,4096.0,79.0,140792709.9874691,8842224.506329117,122506359.67088607,,,,,ns
MatrixMultiplication,Boost,,32,AMD Instinct MI210,8192.0,10.0,1032304880.2907579,27315187.499999993,969171864.7,,,,,ns
MatrixMultiplication,Boost,,32,AMD Instinct MI210,16384.0,1.0,8006615063.059144,94205591.99999446,7769269319.0,,,,,ns
MatrixMultiplication,Hip,Naive,32,AMD Instinct MI210,32.0,4452.0,1110723.2439156407,250528.1947439353,24959.2747617938,,,,,ns
MatrixMultiplication,Hip,Naive,32,AMD Instinct MI210,64.0,2700.0,1140462.3037324874,260992.76074074075,34726.40798461658,,,,,ns
MatrixMultiplication,Hip,Naive,32,AMD Instinct MI210,128.0,1875.0,1168113.3029361567,341181.8186666667,61365.74765443802,,,,,ns
MatrixMultiplication,Hip,Naive,32,AMD Instinct MI210,256.0,1244.0,1193208.6093774983,563951.4445337618,105784.47085029635,,,,,ns
MatrixMultiplication,Hip,Naive,32,AMD Instinct MI210,512.0,667.0,1255230.1515301485,1061206.9625187402,307183.36103559437,,,,,ns
MatrixMultiplication,Hip,Naive,32,AMD Instinct MI210,1024.0,75.0,9037863.95986875,8912667.653333332,1528391.9270833333,,,,,ns
MatrixMultiplication,Hip,Naive,32,AMD Instinct MI210,2048.0,28.0,24815023.39443458,24693001.964285698,15167775.83530971,,,,,ns
MatrixMultiplication,Hip,Naive,32,AMD Instinct MI210,4096.0,5.0,143254326.40034705,142845198.99999994,124260264.58740234,,,,,ns
MatrixMultiplication,Hip,Naive,32,AMD Instinct MI210,8192.0,1.0,1064558409.9693224,1053113366.9999981,1000457031.25,,,,,ns
MatrixMultiplication,Hip,Naive,32,AMD Instinct MI210,16384.0,1.0,9250111132.976599,9241671511.999996,8993066406.25,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD Instinct MI210,32.0,5138.0,136194.1479261763,136087.56286492795,26226.989684702217,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD Instinct MI210,64.0,4576.0,154040.32649337215,153717.60052447554,39521.30026223776,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD Instinct MI210,128.0,3820.0,187117.29137914462,186920.91701570677,61906.15209424084,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD Instinct MI210,256.0,2478.0,285992.0952292467,285343.16868442297,104991.94632768362,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD Instinct MI210,512.0,940.0,751853.2638873984,750072.595744681,314496.2095744681,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD Instinct MI210,1024.0,87.0,8249212.575583965,8183959.459770119,1476597.7471264368,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD Instinct MI210,2048.0,29.0,23944537.552748006,23836753.55172414,14232198.0,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD Instinct MI210,4096.0,5.0,132156355.39963841,131854575.60000023,113451209.6,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD Instinct MI210,8192.0,1.0,1003349790.9316792,999561444.0000011,919819641.0,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD Instinct MI210,16384.0,1.0,7707713951.007463,7682438898.000008,7366190223.0,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD Instinct MI210,32.0,15154.0,78770.4016771047,34107.02243632043,18508.020522634288,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD Instinct MI210,64.0,19268.0,105462.82805654767,46369.22680091342,27189.320739049203,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD Instinct MI210,128.0,11119.0,155367.41290249187,62493.81608058283,51301.64915909704,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD Instinct MI210,256.0,7953.0,229765.93259409565,83812.1727649943,93981.77832264554,,,,,ns
