Benchmark Problem,Paradigm,Description,Precision,Hardware,Problem Size,Iterations,Wall Clock Time,CPU Time,Kernel Time,Neighbor Search Time,Position Update Time,Velocity Update Time,Force Update Time,Time Unit
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD MI210,32.0,6110.0,119145.25022532078,118957.116202946,26418.60180032733,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD MI210,64.0,4870.0,162463.4368937975,160755.65626283368,33247.06488706366,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD MI210,128.0,3281.0,306136.9808004128,304339.65071624506,57237.98079853703,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD MI210,256.0,1644.0,423200.4749386995,420097.96472019487,107237.38442822384,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD MI210,512.0,660.0,1082630.5712037014,1069372.7424242434,342134.22424242424,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD MI210,1024.0,151.0,4647401.815267983,4640930.456953639,1457997.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD MI210,2048.0,32.0,21701622.696127743,21575078.84375001,14691009.625,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD MI210,4096.0,5.0,139321775.7344246,139090719.0,113709654.4,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD MI210,8192.0,1.0,1112101684.3244433,1108101284.0,916955456.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,AMD MI210,16384.0,1.0,8139805484.563112,8121092685.000001,7369826304.0,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD MI210,32.0,8869.0,78465.1100449033,78399.95535009583,29170.94463862893,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD MI210,64.0,7602.0,93242.84301278341,93104.13588529333,37227.73204419889,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD MI210,128.0,6149.0,113978.1518239067,113413.86827126364,64361.181818181816,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD MI210,256.0,3310.0,213884.90552088286,213767.82839879164,112150.03474320241,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD MI210,512.0,894.0,681736.0398186666,679904.4474272932,331360.8064876957,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD MI210,1024.0,290.0,2421467.5617886,2416092.572413793,1507695.3827586207,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD MI210,2048.0,36.0,19660194.921824668,19638440.86111112,16831742.583333332,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD MI210,4096.0,5.0,142620198.42863083,142348906.79999986,127866564.6,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD MI210,8192.0,1.0,1646248281.0020447,1644627635.9999993,1591555878.0,,,,,ns
MatrixMultiplication,Alpaka,,32,AMD MI210,16384.0,1.0,14050924734.212458,14037292350.999998,13840083990.0,,,,,ns
MatrixMultiplication,Boost,,32,AMD MI210,32.0,23466.0,91038.21269009092,31922.033026506433,18628.95491349186,,,,,ns
MatrixMultiplication,Boost,,32,AMD MI210,64.0,16096.0,106462.07710111488,34521.84145129225,27019.699304174952,,,,,ns
MatrixMultiplication,Boost,,32,AMD MI210,128.0,11939.0,180433.77309468476,57115.21383700473,51409.92051260574,,,,,ns
