Benchmark Problem,Paradigm,Description,Precision,Hardware,Problem Size,Iterations,Wall Clock Time,CPU Time,Kernel Time,Neighbor Search Time,Position Update Time,Velocity Update Time,Force Update Time,Time Unit
MatrixMultiplication,AdaptiveCpp,Naive,32,INTEL Data Center GPU Max 1550,32.0,1055.0,664907.6669384235,662800.2606635072,28284.20853080569,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,INTEL Data Center GPU Max 1550,64.0,801.0,1082231.8342006237,1080027.4769038702,68963.39575530587,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,INTEL Data Center GPU Max 1550,128.0,451.0,2210153.3369981,2203780.0487804874,146355.29933481154,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,INTEL Data Center GPU Max 1550,256.0,172.0,4325098.222728039,4309176.186046512,214456.7441860465,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,INTEL Data Center GPU Max 1550,512.0,125.0,5655885.03330946,5636106.783999999,399569.92,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,INTEL Data Center GPU Max 1550,1024.0,102.0,6515616.619521204,6489434.3823529435,2612792.156862745,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,INTEL Data Center GPU Max 1550,2048.0,14.0,45784167.34667761,45500217.49999995,18708868.57142857,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,INTEL Data Center GPU Max 1550,4096.0,3.0,227752633.2375904,226525948.0000002,145455520.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,INTEL Data Center GPU Max 1550,8192.0,1.0,1556350591.1268294,1549787266.9999993,1258538240.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,INTEL Data Center GPU Max 1550,16384.0,1.0,10771568202.87928,10761243557.999996,9617517280.0,,,,,ns
MatrixMultiplication,Alpaka,,32,INTEL Data Center GPU Max 1550,32.0,235.0,3060206.830343033,2430513.582978723,1915048.3702127659,,,,,ns
MatrixMultiplication,Alpaka,,32,INTEL Data Center GPU Max 1550,64.0,167.0,3539984.1841778713,3159489.119760482,2612079.748502994,,,,,ns
MatrixMultiplication,Alpaka,,32,INTEL Data Center GPU Max 1550,128.0,290.0,2477054.6816931716,2084015.7689655165,1546369.2344827587,,,,,ns
MatrixMultiplication,Alpaka,,32,INTEL Data Center GPU Max 1550,256.0,205.0,3025127.4089805963,2577580.2195121995,2035959.3463414635,,,,,ns
MatrixMultiplication,Alpaka,,32,INTEL Data Center GPU Max 1550,512.0,264.0,2456734.4314136514,2003990.897727269,1362173.5946969697,,,,,ns
MatrixMultiplication,Alpaka,,32,INTEL Data Center GPU Max 1550,1024.0,67.0,9578021.298815954,9107019.9402985,7940908.7164179105,,,,,ns
MatrixMultiplication,Alpaka,,32,INTEL Data Center GPU Max 1550,2048.0,2.0,275448116.4738536,274778490.9999993,260873113.5,,,,,ns
MatrixMultiplication,Alpaka,,32,INTEL Data Center GPU Max 1550,4096.0,1.0,891181500.6285906,890425794.9999987,861402986.0,,,,,ns
MatrixMultiplication,Alpaka,,32,INTEL Data Center GPU Max 1550,8192.0,1.0,4472001164.220274,4446106564.999997,4353647139.0,,,,,ns
MatrixMultiplication,Alpaka,,32,INTEL Data Center GPU Max 1550,16384.0,1.0,34777089694.98053,34746688266.0,34396857848.0,,,,,ns
MatrixMultiplication,Boost,,32,INTEL Data Center GPU Max 1550,32.0,859.0,1093273.6343794153,741833.3783469151,23038.13736903376,,,,,ns
MatrixMultiplication,Boost,,32,INTEL Data Center GPU Max 1550,64.0,1061.0,880943.4967141855,602433.1083883129,44036.79547596607,,,,,ns
MatrixMultiplication,Boost,,32,INTEL Data Center GPU Max 1550,128.0,856.0,1165181.1824249818,791126.994158878,83518.31775700934,,,,,ns
MatrixMultiplication,Boost,,32,INTEL Data Center GPU Max 1550,256.0,592.0,1727063.2143245658,1211032.616554055,129152.16216216216,,,,,ns
MatrixMultiplication,Boost,,32,INTEL Data Center GPU Max 1550,512.0,416.0,2199624.4445640165,1648382.5120192298,271566.92307692306,,,,,ns
MatrixMultiplication,Boost,,32,INTEL Data Center GPU Max 1550,1024.0,137.0,6817322.605065186,4900448.357664225,2156566.423357664,,,,,ns
MatrixMultiplication,Boost,,32,INTEL Data Center GPU Max 1550,2048.0,28.0,25599999.918735452,24760266.07142856,15683405.714285715,,,,,ns
MatrixMultiplication,Boost,,32,INTEL Data Center GPU Max 1550,4096.0,4.0,146969741.79241806,146376825.24999994,121752000.0,,,,,ns
MatrixMultiplication,Boost,,32,INTEL Data Center GPU Max 1550,8192.0,1.0,1078198757.0226192,1077233977.9999988,980769600.0,,,,,ns
MatrixMultiplication,Boost,,32,INTEL Data Center GPU Max 1550,16384.0,1.0,10647860948.9277,10623196178.0,10263888000.0,,,,,ns
MatrixMultiplication,Kokkos,,32,INTEL Data Center GPU Max 1550,32.0,894.0,979156.7526816055,648278.1208053691,43905.5100671141,,,,,ns
MatrixMultiplication,Kokkos,,32,INTEL Data Center GPU Max 1550,64.0,974.0,1009970.4855444862,672322.9281314168,68482.0749486653,,,,,ns
MatrixMultiplication,Kokkos,,32,INTEL Data Center GPU Max 1550,128.0,698.0,1831912.9639633405,1262141.6504298,138062.67621776505,,,,,ns
