Benchmark Problem,Paradigm,Description,Precision,Hardware,Problem Size,Iterations,Wall Clock Time,CPU Time,Kernel Time,Neighbor Search Time,Position Update Time,Velocity Update Time,Force Update Time,Time Unit
MatrixMultiplication,OpenACC,,32,NVIDIA GH200,32.0,19331.0,35871.50711381304,35868.724018416026,35198.74734881796,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA GH200,64.0,18079.0,38689.68997206707,38687.41943691575,36523.79086232646,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA GH200,128.0,12849.0,54452.254571944315,54449.784419020914,47588.59701144058,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA GH200,256.0,9924.0,69903.77872026872,69899.89520354693,60795.90114873035,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA GH200,512.0,4356.0,160136.6241974799,160126.4279155189,113319.58126721763,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA GH200,1024.0,674.0,1038694.2685457383,1038561.8041543035,529892.9955489615,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA GH200,2048.0,119.0,5850127.69760924,5849612.907563026,3773275.4201680673,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA GH200,4096.0,17.0,40084331.7654696,40083058.82352951,31690650.0,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA GH200,8192.0,1.0,634941979.0203683,634873728.0000023,597208611.0,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA GH200,16384.0,1.0,5024440795.998089,5023755296.000047,4879088200.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA GH200,32.0,10602.0,73747.39049216341,72584.61422373138,29243.140539520846,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA GH200,64.0,4765.0,142284.53158018846,140026.56705141658,62277.41951731375,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA GH200,128.0,2609.0,281394.99923958234,275979.93407435797,111357.657339977,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA GH200,256.0,955.0,753571.0617539069,741901.0010471193,227522.91518324608,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA GH200,512.0,261.0,2533545.8888747226,2481637.026819927,771111.724137931,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA GH200,1024.0,76.0,8852267.947268525,8830583.999999983,4644954.52631579,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA GH200,2048.0,17.0,42383261.47006934,41982908.235294156,35531280.941176474,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA GH200,4096.0,2.0,297707737.51079106,296395648.0000007,277587312.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA GH200,8192.0,1.0,2261846977.984533,2259727328.0000005,2195342592.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA GH200,16384.0,1.0,17778841996.04159,17775221504.0,17517086720.0,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA GH200,32.0,509.0,1499479.7230037642,1483629.642436149,29562.206286836936,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA GH200,64.0,462.0,1458585.469679125,1432899.1168831168,47382.8658008658,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA GH200,128.0,446.0,1594408.5851825373,1576668.0538116589,83077.56950672646,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA GH200,256.0,438.0,1602225.947447895,1562338.8493150692,153521.2694063927,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA GH200,512.0,216.0,3283084.5973674315,3224140.2962962966,571431.5277777778,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA GH200,1024.0,77.0,8978925.84416459,8836211.116883112,4516905.298701298,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA GH200,2048.0,17.0,41553837.46975156,41477948.23529411,35935365.0,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA GH200,4096.0,2.0,296127385.4889441,296108415.9999996,280989070.5,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA GH200,8192.0,1.0,2210151088.0165734,2209989920.0,2187010051.0,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA GH200,16384.0,1.0,17468390014.95391,17467646784.000004,17395325395.0,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA GH200,32.0,5016.0,161813.89752929908,145669.03349282296,6412.599681020733,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA GH200,64.0,4749.0,157441.31331928787,140600.92482627925,6889.548115392714,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA GH200,128.0,4548.0,158943.79332643608,158926.395778364,9483.947229551452,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA GH200,256.0,4197.0,181515.10722224225,162068.2506552299,15020.405051227068,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA GH200,512.0,2441.0,331307.70991184347,298282.44817697664,60439.46579270791,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA GH200,1024.0,820.0,821331.4415160113,821320.5073170731,419969.3658536585,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA GH200,2048.0,175.0,3987559.543124267,3987157.028571429,3157166.9942857143,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA GH200,4096.0,23.0,32087373.780086637,30011522.78260871,25516941.913043477,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA GH200,8192.0,3.0,229000232.33766356,228990442.66666734,210707786.66666666,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA GH200,16384.0,1.0,1755486902.0823388,1755355936.000001,1685285472.0,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,32.0,18132.0,38828.69264617777,38825.53540701522,10631.424652498003,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,64.0,17271.0,40224.21880463578,40221.117016964854,9237.737240269025,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,128.0,13424.0,51943.8407329606,51938.46483909414,8829.630526478975,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,256.0,10079.0,69768.05358039596,69763.09554519302,16120.113508916467,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,512.0,2517.0,277573.3873661035,277547.8363130708,32959.40242598206,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,1024.0,688.0,1014986.4942514945,1014932.1860465109,76909.72088684523,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,2048.0,230.0,3032131.2303978787,3031877.00869565,360415.025897648,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,4096.0,56.0,12396953.661144445,12396388.000000013,2697675.4324776786,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,8192.0,11.0,64437480.54814272,64427231.99999989,21448523.434725676,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,16384.0,2.0,325292141.0021372,325252031.9999999,162624130.24902344,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,32.0,3353.0,202052.943043793,202018.50999105265,8273.436323745977,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,64.0,3392.0,205529.4823188682,205481.5754716986,10793.886818749532,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,128.0,3030.0,231234.72045320194,231204.06600660042,17066.14931891657,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,256.0,2634.0,265487.41687295696,265459.085801062,33777.36063395473,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,512.0,1946.0,361405.84071259655,361370.26104830333,66524.34907646856,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,1024.0,700.0,977879.6286056085,977744.7314285733,476913.4168965476,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,2048.0,124.0,5611351.112865152,5610505.2903225655,3578832.5013652924,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,4096.0,13.0,53829297.69201347,53820927.999999836,45900123.0093149,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,8192.0,2.0,415367192.4723312,415339920.00000095,381963241.57714844,,,,,ns
