file,dialect,loc,sloc,comment_lines,blank_lines,distinct_operators,distinct_operands,total_operators,total_operands,vocabulary,length,calculated_length,volume,difficulty,effort,time_seconds,delivered_bugs,program_level,language_level,dialect_distinct_operators,dialect_total_operators,dialect_distinct_operands,dialect_total_operands
src/common/AlignedAllocator.h,cpp,108,53,44,11,42,41,217,118,83,335,446.1369639460494,2135.6382095012195,60.4390243902439,129075.88983278102,7170.882768487834,0.7118794031670732,0.016545601291364002,0.5846457429368026,0,0,0,0
src/common/FileReader.cpp,cpp,23,18,2,3,13,22,47,36,35,83,146.21321194585474,425.7304904064322,10.636363636363637,4528.224307050234,251.5680170583463,0.14191016346881072,0.09401709401709402,3.763122897156716,0,0,0,0
src/common/FileReader.h,cpp,17,5,7,5,9,8,11,10,17,21,52.529325012980806,85.83671966625712,5.625,482.83154812269635,26.82397489570535,0.028612239888752375,0.17777777777777778,2.7128642264891143,0,0,0,0
src/common/TypeDefinitions.h,cpp,92,45,34,13,30,46,233,127,76,360,401.29056784687816,2249.2539048396907,41.41304347826087,93148.44975477415,5174.913875265231,0.7497513016132302,0.024146981627296588,1.3114875931250916,0,0,0,0
src/common/UtilityContainer.h,cpp,600,275,278,47,51,145,1304,895,196,2199,1330.3805104927117,16744.746947209343,157.39655172413794,2635565.428984036,146420.30161022424,5.581582315736448,0.006353379340563041,0.6759088947756207,0,0,0,0
src/common/UtilityFloatArithmetic.cpp,cpp,51,32,7,12,31,23,198,100,54,298,257.6220106113044,1714.9564756447135,67.39130434782608,115573.15379344807,6420.73076630267,0.5716521585482378,0.014838709677419357,0.3776116443771295,0,0,0,0
src/common/UtilityFloatArithmetic.h,cpp,122,33,77,12,33,36,123,70,69,193,352.58230599075216,1178.9452201581867,32.083333333333336,37824.49248007516,2101.360693337509,0.3929817400527289,0.031168831168831165,1.1453406085530702,0,0,0,0
src/common/cuda/Common_Structs.cuh,cuda,208,113,63,32,40,73,260,160,113,420,664.7343165937358,2864.4751642143788,43.83561643835616,125566.03459569879,6975.890810872155,0.9548250547381263,0.022812500000000003,1.4907019677830498,11,15,0,0
src/common/cuda/helper_math.h,cuda+hip,1178,986,91,101,50,54,6151,3704,104,9855,592.9567346055635,66032.83342228046,1714.8148148148148,113234081.01672538,6290782.278706965,22.010944474093485,0.0005831533477321815,0.02245564217066948,14,1136,0,0
src/common/cuda/helper_math_double.h,cuda,1174,982,91,101,44,53,6140,3703,97,9843,543.7947753118906,64962.9421056479,1537.0943396226414,99854170.59582475,5547453.921990264,21.654314035215965,0.0006505781553040532,0.027495691024789114,12,1134,0,0
