Name,Framework,SLOC,n1,n2,N1,N2
VecAdd,CPP,173,67,141,714,433
VecAdd,AdaptiveCpp,189,79,150,804,478
VecAdd,Alpaka,229,94,175,986,566
VecAdd,Boost,191,76,152,814,492
VecAdd,Hip,217,90,147,912,517
VecAdd,Kokkos,187,75,148,779,466
VecAdd,Metal,238,78,183,940,569
VecAdd,OpenACC,184,76,150,758,467
VecAdd,OpenCL,303,121,197,1323,733
VecAdd,OpenMP,181,74,145,751,460
VecAdd,RAJA,204,85,155,863,511
VecAdd,Stdpar,177,68,146,732,447
VecAdd,Vulkan,388,112,281,1738,1055
VecAdd,Cuda,238,88,140,971,547
VecAdd,Cublas,227,82,136,947,529
VecAdd,Cuda[Chunked],138,65,59,606,349
VecAdd,Thrust,208,72,140,881,507
VecAdd,Stdpar[NVHPC],171,68,140,703,424
VecAdd,Slang-Cuda,351,109,247,1228,766
VecAdd,Slang-Vulkan,385,104,280,1712,1055
MatrixMultiplication,CPP,533,78,304,2539,1651
MatrixMultiplication,Alpaka,599,103,341,2848,1817
MatrixMultiplication,Boost,576,92,326,2706,1755
MatrixMultiplication,Hip,581,100,314,2882,1780
MatrixMultiplication,Kokkos,548,90,313,2643,1683
MatrixMultiplication,OpenACC,543,87,309,2579,1679
MatrixMultiplication,OpenCL,689,134,363,3235,1990
MatrixMultiplication,RAJA,590,112,317,2858,1755
MatrixMultiplication,Stdpar,539,79,307,2572,1662
MatrixMultiplication,AdaptiveCpp[Naive],555,90,315,2649,1722
MatrixMultiplication,AdaptiveCpp[SharedMemory],582,92,327,2745,1800
MatrixMultiplication,Cublas,573,98,312,2670,1704
MatrixMultiplication,Cuda[Naive],579,100,312,2844,1781
MatrixMultiplication,Cuda[SharedMemory],630,106,346,3186,2012
MatrixMultiplication,Cuda[Buffer],668,109,367,3445,2147
MatrixMultiplication,Cuda[Tensor],584,104,340,2895,1847
MatrixMultiplication,OpenMP,539,87,309,2576,1676
MatrixMultiplication,OpenMP[Host],531,80,301,2522,1638
MatrixMultiplication,Vulkan,746,120,433,3576,2271
MatrixMultiplication,Vulkan[SharedMemory],767,123,443,3659,2333
MatrixMultiplication,Slang-Cuda,732,123,402,3136,2027
MatrixMultiplication,Slang-Vulkan,748,114,428,3565,2267
NBody,CPP,715,76,360,3336,2200
NBody,AdaptiveCpp,812,87,387,3815,2543
NBody,Alpaka,865,100,404,4082,2696
NBody,Boost,866,97,416,3958,2630
NBody,Cuda,862,101,394,4104,2707
NBody,Hip,882,110,404,4183,2762
NBody,OpenACC,806,86,379,3744,2532
NBody,OpenCL,994,140,452,4645,2852
NBody,OpenMP,821,90,383,3852,2573
NBody,RAJA,848,97,388,3898,2619
NBody,Stdpar,791,77,374,3668,2492
NBody,Kokkos,812,88,378,3718,2440
NBody,Kokkos[Reduction],881,96,392,3991,2622
NBody,Vulkan[Naive],1105,114,529,5070,3295
NBody,Slang-Cuda[Naive],1013,119,482,4379,2921
NBody,Slang-Vulkan[Naive],1094,107,525,4988,3292
NBody,Vulkan[LinkedCells],1498,122,637,6947,4590
NBody,Slang-Cuda[LinkedCells],1393,129,575,5928,4078
NBody,Slang-Vulkan[LinkedCells],1471,115,626,6728,4581
NBody,Vulkan[VerletLists],1388,120,588,6365,4194
NBody,Slang-Cuda[VerletLists],1315,128,538,5531,3805
NBody,Slang-Vulkan[VerletLists],1369,113,581,6193,4191
PolyhedralGravity,CPP,562,74,274,2466,1925
PolyhedralGravity,AdaptiveCpp,643,85,306,2807,2159
PolyhedralGravity,Alpaka,686,100,313,2933,2162
PolyhedralGravity,Boost,778,104,363,3333,2579
PolyhedralGravity,Cuda,2711,117,378,15523,9980
PolyhedralGravity,Hip,776,104,343,3516,2767
PolyhedralGravity,Kokkos,573,85,283,2532,1929
PolyhedralGravity,OpenACC,593,82,285,2587,1988
PolyhedralGravity,OpenCL,870,132,408,3630,2737
PolyhedralGravity,OpenMP,597,93,281,2630,2003
PolyhedralGravity,RAJA,635,97,299,2815,2132
PolyhedralGravity,Stdpar,582,75,285,2560,1985
PolyhedralGravity,Vulkan,1110,175,493,4460,3247
PolyhedralGravity,WebGPU,550,151,265,2772,1815
PolyhedralGravity,Slang-Cuda,2804,132,415,15606,10046
PolyhedralGravity,Slang-Vulkan,980,168,491,3867,3019
