Name,Framework,SLOC,n1,n2,N1,N2
VecAdd,CPP,30,37,42,183,89
VecAdd,Alpaka,83,44,96,487,295
VecAdd,Boost,49,51,57,322,187
VecAdd,AdaptiveCpp,47,52,64,338,154
VecAdd,Cuda,76,61,48,399,172
VecAdd,Cublas,66,48,47,368,159
VecAdd,OpenACC,41,52,52,246,123
VecAdd,OpenCL,143,82,96,894,369
VecAdd,OpenMP,37,45,53,219,121
VecAdd,Vulkan,206,92,198,1394,769
VecAdd,Kokkos,45,43,53,299,157
MatrixMultiplication,Vulkan,266,93,225,1749,978
MatrixMultiplication,OpenCL,195,89,112,1157,501
MatrixMultiplication,CPP,48,45,59,292,160
MatrixMultiplication,Alpaka,109,48,116,635,405
MatrixMultiplication,Boost,106,57,97,618,356
MatrixMultiplication,AdaptiveCpp,67,61,85,474,241
MatrixMultiplication,AdaptiveCpp-Shr,94,65,102,618,326
MatrixMultiplication,Kokkos,64,50,74,448,254
MatrixMultiplication,Cublas,66,47,55,374,180
MatrixMultiplication,Cuda,82,69,67,581,257
MatrixMultiplication,Cuda-Shr,132,79,103,994,486
MatrixMultiplication,OpenMP,52,47,71,333,192
MatrixMultiplication,OpenACC,56,55,67,340,195
NBody,Vulkan,365,93,256,2336,1354
NBody,AdaptiveCpp,201,69,139,1331,749
NBody,Alpaka,246,55,164,1558,969
NBody,Boost,243,65,156,1434,861
NBody,CPP,107,53,100,674,366
NBody,Cuda,210,72,126,1507,699
NBody,Kokkos,213,72,134,1290,700
NBody,OpenMP,204,67,120,1266,728
NBody,OpenCL,341,95,175,2060,925
PolyhedralGravity,AdaptiveCpp,607,88,281,3765,2270
PolyhedralGravity,Cuda,718,100,299,4218,2620
PolyhedralGravity,Kokkos,551,89,250,3555,2010
PolyhedralGravity,OpenCL,764,96,352,4319,2748
PolyhedralGravity,Vulkan,1074,185,520,6021,3749
PolyhedralGravity,OpenMP,574,92,252,3442,2025
PolyhedralGravity,OpenACC,570,86,252,3452,2022
PolyhedralGravity,Vulkan,1074,185,520,6021,3749
PolyhedralGravity,Slang-Vulkan,922,183,509,5077,3201
PolyhedralGravity,Slang-Cuda,807,100,344,4278,2730
PolyhedralGravity,CPP,541,79,239,3262,1955
