Name,Framework,Problem Size,Wall Clock Time,CPU Time,Kernel Time,Position Update Time,Velocity Update Time,Force Update Time,Version,Framework[Version],GPU,SLOC,n1,n2,N1,N2,n,N,V,D,E
MatrixMultiplication,Alpaka,32,78312.59870339077,78124.43358610568,23948.527886497064,,,,,Alpaka,RTX2080,109,48,116,635,405,164,1040,7651.854084802807,83.79310344827586,641172.6008989938
MatrixMultiplication,Alpaka,64,112927.23188397352,112639.42101449276,39954.84014492753,,,,,Alpaka,RTX2080,109,48,116,635,405,164,1040,7651.854084802807,83.79310344827586,641172.6008989938
MatrixMultiplication,Alpaka,128,157646.42815206278,157333.66470854043,74701.66312697696,,,,,Alpaka,RTX2080,109,48,116,635,405,164,1040,7651.854084802807,83.79310344827586,641172.6008989938
MatrixMultiplication,Alpaka,256,622799.4631849655,621758.9640410962,462426.48886986304,,,,,Alpaka,RTX2080,109,48,116,635,405,164,1040,7651.854084802807,83.79310344827586,641172.6008989938
MatrixMultiplication,Alpaka,512,3889059.659079728,3883923.789772728,3329796.465909091,,,,,Alpaka,RTX2080,109,48,116,635,405,164,1040,7651.854084802807,83.79310344827586,641172.6008989938
MatrixMultiplication,Alpaka,1024,27232619.1153787,27199859.84615384,25555713.730769232,,,,,Alpaka,RTX2080,109,48,116,635,405,164,1040,7651.854084802807,83.79310344827586,641172.6008989938
MatrixMultiplication,Alpaka,2048,227888765.66725472,226700705.3333335,220051572.0,,,,,Alpaka,RTX2080,109,48,116,635,405,164,1040,7651.854084802807,83.79310344827586,641172.6008989938
MatrixMultiplication,Alpaka,4096,3911160298.9978566,3906790680.999999,3867204715.0,,,,,Alpaka,RTX2080,109,48,116,635,405,164,1040,7651.854084802807,83.79310344827586,641172.6008989938
MatrixMultiplication,Alpaka,8192,61271158257.00093,61249585747.0,61135220921.0,,,,,Alpaka,RTX2080,109,48,116,635,405,164,1040,7651.854084802807,83.79310344827586,641172.6008989938
MatrixMultiplication,OpenMP,32,58089.86310978248,23716.858739837397,57374.13130081301,,,,,OpenMP,RTX2080,52,47,71,333,192,118,525,3613.3876009149667,63.54929577464789,229628.23739899058
MatrixMultiplication,OpenMP,64,69280.72517484933,31004.930993005742,67785.8360582706,,,,,OpenMP,RTX2080,52,47,71,333,192,118,525,3613.3876009149667,63.54929577464789,229628.23739899058
MatrixMultiplication,OpenMP,128,101937.50016584514,39153.59840602167,98386.11838609696,,,,,OpenMP,RTX2080,52,47,71,333,192,118,525,3613.3876009149667,63.54929577464789,229628.23739899058
MatrixMultiplication,OpenMP,256,255649.28206644816,85571.61197947733,240957.34089010855,,,,,OpenMP,RTX2080,52,47,71,333,192,118,525,3613.3876009149667,63.54929577464789,229628.23739899058
MatrixMultiplication,OpenMP,512,944992.895959006,323059.96284254524,879268.2192289828,,,,,OpenMP,RTX2080,52,47,71,333,192,118,525,3613.3876009149667,63.54929577464789,229628.23739899058
MatrixMultiplication,OpenMP,1024,6382641.182929406,2844510.491869918,4535975.463414635,,,,,OpenMP,RTX2080,52,47,71,333,192,118,525,3613.3876009149667,63.54929577464789,229628.23739899058
MatrixMultiplication,OpenMP,2048,77940392.92154291,13605395.411764717,69512589.13725491,,,,,OpenMP,RTX2080,52,47,71,333,192,118,525,3613.3876009149667,63.54929577464789,229628.23739899058
MatrixMultiplication,OpenMP,4096,690622939.6666579,55016950.83333328,655481890.8333334,,,,,OpenMP,RTX2080,52,47,71,333,192,118,525,3613.3876009149667,63.54929577464789,229628.23739899058
MatrixMultiplication,OpenMP,8192,6263256586.000353,215542714.99999976,6118366688.0,,,,,OpenMP,RTX2080,52,47,71,333,192,118,525,3613.3876009149667,63.54929577464789,229628.23739899058
MatrixMultiplication,Vulkan,32,1653998.6886078925,1602854.6632911393,266895.8,,,,,Vulkan,RTX2080,266,93,225,1749,978,318,2727,22669.231819060435,202.12,4581905.135268495
MatrixMultiplication,Vulkan,64,1705863.7459587234,1645143.6859122403,271714.1963048499,,,,,Vulkan,RTX2080,266,93,225,1749,978,318,2727,22669.231819060435,202.12,4581905.135268495
MatrixMultiplication,Vulkan,128,1906707.769225689,1820054.8753315655,284371.52519893897,,,,,Vulkan,RTX2080,266,93,225,1749,978,318,2727,22669.231819060435,202.12,4581905.135268495
MatrixMultiplication,Vulkan,256,2722672.7636298165,2508790.399999999,329049.66909090907,,,,,Vulkan,RTX2080,266,93,225,1749,978,318,2727,22669.231819060435,202.12,4581905.135268495
MatrixMultiplication,Vulkan,512,6189477.471061088,5404401.89256199,525026.479338843,,,,,Vulkan,RTX2080,266,93,225,1749,978,318,2727,22669.231819060435,202.12,4581905.135268495
MatrixMultiplication,Vulkan,1024,17086325.24141335,12490061.620689671,2845895.379310345,,,,,Vulkan,RTX2080,266,93,225,1749,978,318,2727,22669.231819060435,202.12,4581905.135268495
MatrixMultiplication,Vulkan,2048,94062628.90006474,65500951.09999994,20949802.1,,,,,Vulkan,RTX2080,266,93,225,1749,978,318,2727,22669.231819060435,202.12,4581905.135268495
MatrixMultiplication,Vulkan,4096,512170432.00085753,355552804.00000024,126171406.5,,,,,Vulkan,RTX2080,266,93,225,1749,978,318,2727,22669.231819060435,202.12,4581905.135268495
MatrixMultiplication,Vulkan,8192,2566473259.0012136,1407049680.9999983,1039213456.0,,,,,Vulkan,RTX2080,266,93,225,1749,978,318,2727,22669.231819060435,202.12,4581905.135268495
MatrixMultiplication,AdaptiveCpp,32,108164.35181117788,56791.53007874016,34924.102047244094,,,,Naive,AdaptiveCpp[Naive],RTX2080,67,61,85,474,241,146,715,5140.724559599213,86.4764705882353,444551.71618040017
MatrixMultiplication,AdaptiveCpp,64,196117.3697203542,97276.90396361276,61581.694087069525,,,,Naive,AdaptiveCpp[Naive],RTX2080,67,61,85,474,241,146,715,5140.724559599213,86.4764705882353,444551.71618040017
MatrixMultiplication,AdaptiveCpp,128,171393.54252184683,153926.06744868038,107577.36611775322,,,,Naive,AdaptiveCpp[Naive],RTX2080,67,61,85,474,241,146,715,5140.724559599213,86.4764705882353,444551.71618040017
MatrixMultiplication,AdaptiveCpp,256,769949.5985400481,725094.7601668398,607159.6579770595,,,,Naive,AdaptiveCpp[Naive],RTX2080,67,61,85,474,241,146,715,5140.724559599213,86.4764705882353,444551.71618040017
MatrixMultiplication,AdaptiveCpp,512,3982615.8032662873,3881374.6721311496,3414333.2021857924,,,,Naive,AdaptiveCpp[Naive],RTX2080,67,61,85,474,241,146,715,5140.724559599213,86.4764705882353,444551.71618040017
MatrixMultiplication,AdaptiveCpp,1024,29254826.083312463,28505517.458333295,25532249.333333332,,,,Naive,AdaptiveCpp[Naive],RTX2080,67,61,85,474,241,146,715,5140.724559599213,86.4764705882353,444551.71618040017
MatrixMultiplication,AdaptiveCpp,2048,213363931.3336365,210328722.3333332,197394165.33333337,,,,Naive,AdaptiveCpp[Naive],RTX2080,67,61,85,474,241,146,715,5140.724559599213,86.4764705882353,444551.71618040017
MatrixMultiplication,AdaptiveCpp,4096,1628863121.0009043,1612037108.000001,1561764736.0,,,,Naive,AdaptiveCpp[Naive],RTX2080,67,61,85,474,241,146,715,5140.724559599213,86.4764705882353,444551.71618040017
MatrixMultiplication,AdaptiveCpp,8192,12815531131.996977,12771555840.0,12573147136.0,,,,Naive,AdaptiveCpp[Naive],RTX2080,67,61,85,474,241,146,715,5140.724559599213,86.4764705882353,444551.71618040017
MatrixMultiplication,AdaptiveCpp,32,89401.4958563951,39661.062839580656,18143.40113056363,,,,SharedMemory,AdaptiveCpp[SharedMemory],RTX2080,94,65,102,618,326,167,944,6970.216852095505,103.87254901960785,724014.191646587
MatrixMultiplication,AdaptiveCpp,64,167847.48534046987,64059.35516463673,28702.79043752819,,,,SharedMemory,AdaptiveCpp[SharedMemory],RTX2080,94,65,102,618,326,167,944,6970.216852095505,103.87254901960785,724014.191646587
