Problem,Framework,Data Type,Problem Size,Iterations,Runtime,CPU Time,Time Unit
VecAdd,adaptivecppmalloc,float,1000,17997.0,92122.21770296627,42415.76590542868,ns
VecAdd,adaptivecppmalloc,float,10000,6428.0,170785.1512138191,110153.00062227748,ns
VecAdd,adaptivecppmalloc,float,100000,2062.0,379514.9825411542,340877.1159068869,ns
VecAdd,adaptivecppmalloc,float,1000000,435.0,1667947.6712674475,1616204.5287356328,ns
VecAdd,adaptivecppmalloc,float,10000000,31.0,22610005.25803895,22539668.225806475,ns
VecAdd,adaptivecppmalloc,float,100000000,3.0,215856358.6672244,215662937.0,ns
VecAdd,adaptivecppmalloc,double,1000,14083.0,126322.23368608896,46950.75211247605,ns
VecAdd,adaptivecppmalloc,double,10000,5460.0,198306.7752747217,124457.38131868132,ns
VecAdd,adaptivecppmalloc,double,100000,1468.0,538175.3099440131,485839.0688010896,ns
VecAdd,adaptivecppmalloc,double,1000000,234.0,3000036.2863248503,2946388.87606837,ns
VecAdd,adaptivecppmalloc,double,10000000,16.0,44262404.93762634,44191620.37499991,ns
VecAdd,adaptivecppmalloc,double,100000000,2.0,437662091.9993002,437507317.4999997,ns
VecAdd,adaptivecppbuffer,float,1000,10.0,178341425.3000956,66421506.000000015,ns
VecAdd,adaptivecppbuffer,float,10000,10.0,166759315.40012243,66832085.8,ns
VecAdd,adaptivecppbuffer,float,100000,10.0,166522220.80010688,67327455.49999999,ns
VecAdd,adaptivecppbuffer,float,1000000,9.0,167686081.55568168,68237487.00000001,ns
VecAdd,adaptivecppbuffer,float,10000000,9.0,194108398.55562598,80366327.1111111,ns
VecAdd,adaptivecppbuffer,float,100000000,4.0,428608320.749845,195725421.49999994,ns
VecAdd,adaptivecppbuffer,double,1000,10.0,166563690.19983685,66420530.30000001,ns
VecAdd,adaptivecppbuffer,double,10000,10.0,166535045.70022053,66323947.3,ns
VecAdd,adaptivecppbuffer,double,100000,11.0,166541840.36352408,66088687.63636355,ns
VecAdd,adaptivecppbuffer,double,1000000,10.0,167262144.0000512,67119283.49999994,ns
VecAdd,adaptivecppbuffer,double,10000000,8.0,220557501.750136,95369368.62500012,ns
VecAdd,adaptivecppbuffer,double,100000000,2.0,688798110.9994143,322030531.9999994,ns
VecAdd,kokkosuvm,float,1000,3947.0,180655.8218900264,179792.35368634402,ns
VecAdd,kokkosuvm,float,10000,3818.0,168873.470141038,168001.2071765322,ns
VecAdd,kokkosuvm,float,100000,1943.0,365416.67009809986,364367.2830674215,ns
VecAdd,kokkosuvm,float,1000000,387.0,1691587.9534906105,1690843.8191214467,ns
VecAdd,kokkosuvm,float,10000000,29.0,23930462.41383578,23913083.27586209,ns
VecAdd,kokkosuvm,float,100000000,3.0,232402820.33293626,232328223.99999976,ns
VecAdd,kokkosuvm,double,1000,3815.0,171047.9834866829,170336.44167758847,ns
VecAdd,kokkosuvm,double,10000,3197.0,224535.5558328191,223596.50422270893,ns
VecAdd,kokkosuvm,double,100000,1335.0,522512.28539188986,521972.6861423219,ns
VecAdd,kokkosuvm,double,1000000,225.0,3087313.871122509,3087280.088888886,ns
VecAdd,kokkosuvm,double,10000000,15.0,46934983.13329959,46922580.26666672,ns
VecAdd,kokkosuvm,double,100000000,2.0,463967764.0006994,463885047.00000066,ns
VecAdd,kokkos,float,1000,27691.0,25305.135856375327,25304.73908490123,ns
VecAdd,kokkos,float,10000,20224.0,35249.33850868262,35248.78006329113,ns
VecAdd,kokkos,float,100000,5870.0,119216.49897800582,119204.01703577509,ns
VecAdd,kokkos,float,1000000,261.0,2718414.3218479897,2717855.735632184,ns
VecAdd,kokkos,float,10000000,26.0,26864522.30773284,26862876.730769224,ns
VecAdd,kokkos,float,100000000,3.0,249839676.33306745,249813969.6666666,ns
VecAdd,kokkos,double,1000,23939.0,29209.383224125933,29208.830736455104,ns
VecAdd,kokkos,double,10000,15269.0,45478.85834056539,45478.896784334225,ns
VecAdd,kokkos,double,100000,3297.0,212278.3205935864,212280.63208977843,ns
VecAdd,kokkos,double,1000000,139.0,5026904.978431768,5026557.208633095,ns
VecAdd,kokkos,double,10000000,14.0,51456914.14275331,51444287.57142855,ns
VecAdd,kokkos,double,100000000,1.0,508687286.9978833,508515978.0000001,ns
