Problem,Framework,Data Type,Problem Size,Iterations,Runtime,CPU Time,Time Unit
VecAdd,cublas,float,1000,1.0,796060319.9899197,741411642.0,ns
VecAdd,cublas,float,10000,1194.0,695510.1418385354,628800.2386934673,ns
VecAdd,cublas,float,100000,884.0,794279.2858372177,731139.6266968325,ns
VecAdd,cublas,float,1000000,286.0,2746979.0482020876,2525219.744755244,ns
VecAdd,cublas,float,10000000,24.0,31278864.480555058,28774667.5,ns
VecAdd,cublas,float,100000000,3.0,236505035.31098366,235860781.3333335,ns
VecAdd,cublas,double,1000,1228.0,683971.7899112437,624656.8460912054,ns
VecAdd,cublas,double,10000,1165.0,737341.7763623046,663830.5381974252,ns
VecAdd,cublas,double,100000,728.0,1147298.6668225501,1065964.2527472528,ns
VecAdd,cublas,double,1000000,135.0,4445880.554892398,4143341.600000002,ns
VecAdd,cublas,double,10000000,13.0,54470658.58886792,52357992.69230767,ns
VecAdd,cublas,double,100000000,2.0,465609101.57859325,464431284.00000066,ns
VecAdd,adaptivecppcstd,float,1000,54112.0,13741.513647828615,12986.143055144883,ns
VecAdd,adaptivecppcstd,float,10000,24629.0,29707.150893407103,27697.788785577974,ns
VecAdd,adaptivecppcstd,float,100000,1324.0,900261.749842646,647557.1729607248,ns
VecAdd,adaptivecppcstd,float,1000000,284.0,2593328.7434384855,2592150.334507043,ns
VecAdd,adaptivecppcstd,float,10000000,40.0,18294632.1554482,18283814.250000007,ns
VecAdd,adaptivecppcstd,float,100000000,5.0,148991945.75846195,148907337.40000004,ns
VecAdd,thrust,float,1000,3049.0,232827.28612755274,216933.14102984586,ns
VecAdd,thrust,float,10000,2787.0,252023.05255652245,233617.8815931108,ns
VecAdd,thrust,float,100000,1947.0,394946.86540451547,365493.2506420133,ns
VecAdd,thrust,float,1000000,350.0,2120676.194982869,1964099.1314285723,ns
VecAdd,thrust,float,10000000,26.0,29013775.14577829,27442285.192307703,ns
VecAdd,thrust,float,100000000,3.0,247099459.79217687,241846487.66666654,ns
VecAdd,thrust,double,1000,3250.0,243029.30327562185,221166.84553846146,ns
VecAdd,thrust,double,10000,2530.0,270789.2211647373,251187.97905138374,ns
